work,type,size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 411.99, 8.32182431, 58, -0.0258240000000001, 37795
bna, 3, 200, 10, 10, 419.47, 8.28459203, 13, -0.0698880000000024, 8696
bna, 3, 200, 10, 10, 403.62, 8.25979786, 13, -0.0425199999999997, 8669
bna, 3, 200, 10, 10, 402.33, 8.23940084, 15, -0.0065880000000007, 9988
bna, 3, 200, 10, 10, 419.40, 8.23087689, 11, -0.036290000000001, 7445
bna, 3, 200, 10, 10, 424.69, 8.26932379, 32, -0.18666, 20817
bna, 3, 200, 10, 10, 413.48, 8.24657317, 16, -0.0357650000000014, 10668
bna, 3, 200, 10, 10, 414.66, 8.25025318, 12, -0.135472, 8045
bna, 3, 200, 10, 10, 409.50, 8.24655781, 23, -0.0740990000000004, 15218
bna, 3, 200, 10, 10, 411.53, 8.23176727, 22, -0.0685740000000017, 14533
bna, 3, 200, 10, 10, 405.96, 8.30029949, 27, -0.00157800000000208, 17762
bna, 3, 200, 10, 10, 405.96, 8.23861516, 55, -0.0302399999999992, 35759
bna, 3, 200, 10, 10, 405.32, 8.25326076, 12, -0.0552640000000011, 8053
bna, 3, 200, 10, 10, 401.34, 8.29287716, 16, -0.140664000000001, 10622
bna, 3, 200, 10, 10, 399.53, 8.24542534, 24, -0.0113489999999992, 15857
bna, 3, 200, 10, 10, 413.52, 8.21956710, 30, -0.0113950000000003, 19606
bna, 3, 200, 10, 10, 407.70, 8.25595253, 18, -0.0367820000000023, 11937
bna, 3, 200, 10, 10, 462.13, 8.64562169, 19, -0.004328000000001, 12603
bna, 3, 200, 10, 10, 472.08, 8.55949160, 15, -0.0375779999999999, 10006
bna, 3, 200, 10, 10, 485.28, 8.60792068, 25, -0.0813589999999991, 16494
bna, 3, 200, 10, 10, 423.09, 8.45369037, 30, -0.221101000000001, 19728
bna, 3, 200, 10, 10, 460.93, 8.55606500, 28, -0.0346460000000022, 18324
bna, 3, 200, 10, 10, 470.26, 8.70846086, 41, -0.0135490000000011, 26748
bna, 3, 200, 10, 10, 480.32, 8.65905478, 11, -0.200480000000002, 7456
bna, 3, 200, 10, 10, 489.02, 8.70796186, 17, -0.0592199999999998, 11246
bna, 3, 200, 10, 10, 492.46, 8.64013478, 34, -0.0718470000000018, 22147
bna, 3, 200, 10, 10, 445.84, 8.50644008, 12, -0.123260999999999, 8090
bna, 3, 200, 10, 10, 480.18, 8.60117678, 15, -0.0783130000000014, 10142
bna, 3, 200, 10, 10, 454.71, 8.46870053, 13, -0.00127600000000072, 8654
bna, 3, 200, 10, 10, 452.29, 8.48197720, 23, -0.190577000000001, 15192
